pclass,survived,name,embarked,sex,age,sibsp,parch,ticket,fare,cabin
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",S,female,36,1,2,113760,120,B96 B98
1,0,"Case, Mr. Howard Brown",S,male,49,0,0,19924,26,
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",C,female,,0,0,17770,27.7208,
1,0,"Cavendish, Mr. Tyrell William",S,male,36,1,0,19877,78.85,C46
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",S,female,76,1,0,19877,78.85,C46
1,0,"Chaffee, Mr. Herbert Fuller",S,male,46,1,0,W.E.P. 5734,61.175,E31
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",S,female,47,1,0,W.E.P. 5734,61.175,E31
1,1,"Chambers, Mr. Norman Campbell",S,male,27,1,0,113806,53.1,E8
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",S,female,33,1,0,113806,53.1,E8
1,1,"Chaudanson, Miss. Victorine",C,female,36,0,0,PC 17608,262.375,B61
1,1,"Cherry, Miss. Gladys",S,female,30,0,0,110152,86.5,B77
1,1,"Chevre, Mr. Paul Romaine",C,male,45,0,0,PC 17594,29.7,A9
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",S,female,,0,1,113505,55,E33
1,0,"Chisholm, Mr. Roderick Robert Crispin",S,male,,0,0,112051,,
1,0,"Clark, Mr. Walter Miller",C,male,27,1,0,13508,136.7792,C89
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",C,female,26,1,0,13508,136.7792,C89
1,1,"Cleaver, Miss. Alice",S,female,22,0,0,113781,151.55,
1,0,"Clifford, Mr. George Quincy",S,male,,0,0,110465,52,A14
1,0,"Colley, Mr. Edward Pomeroy",S,male,47,0,0,5727,25.5875,E58
1,1,"Compton, Miss. Sara Rebecca",C,female,39,1,1,PC 17756,83.1583,E49
1,0,"Compton, Mr. Alexander Taylor Jr",C,male,37,1,1,PC 17756,83.1583,E52
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",C,female,64,0,2,PC 17756,83.1583,E45
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",S,female,55,2,0,11770,25.7,C101
1,0,"Crafton, Mr. John Bertram",S,male,,0,0,113791,26.55,
1,0,"Crosby, Capt. Edward Gifford",S,male,70,1,1,WE/P 5735,71,B22
1,1,"Crosby, Miss. Harriet R",S,female,36,0,2,WE/P 5735,71,B22
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",S,female,64,1,1,112901,26.55,B26
1,0,"Cumings, Mr. John Bradley",C,male,39,1,0,PC 17599,71.2833,C85
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",C,female,38,1,0,PC 17599,71.2833,C85
1,1,"Daly, Mr. Peter Denis",S,male,51,0,0,113055,26.55,E17
1,1,"Daniel, Mr. Robert Williams",S,male,27,0,0,113804,30.5,
1,1,"Daniels, Miss. Sarah",S,female,33,0,0,113781,151.55,
1,0,"Davidson, Mr. Thornton",S,male,31,1,0,F.C. 12750,52,B71
1,1,"Davidson, Mrs. Thornton (Orian Hays)",S,female,27,1,2,F.C. 12750,52,B71
1,1,"Dick, Mr. Albert Adrian",S,male,31,1,0,17474,57,B20
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",S,female,17,1,0,17474,57,B20
1,1,"Dodge, Dr. Washington",S,male,53,1,1,33638,81.8583,A34
1,1,"Dodge, Master. Washington",S,male,4,0,2,33638,81.8583,A34
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",S,female,54,1,1,33638,81.8583,A34
1,0,"Douglas, Mr. Walter Donald",C,male,50,1,0,PC 17761,106.425,C86
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",C,female,27,1,1,PC 17558,247.5208,B58 B60
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",C,female,48,1,0,PC 17761,106.425,C86
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) ('Mrs Morgan')",C,female,48,1,0,11755,39.6,A16
1,1,"Duff Gordon, Sir. Cosmo Edmund ('Mr Morgan')",C,male,49,1,0,PC 17485,56.9292,A20
1,0,"Dulles, Mr. William Crothers",C,male,39,0,0,PC 17580,29.7,A18
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",C,female,23,0,1,11767,83.1583,C54
1,1,"Endres, Miss. Caroline Louise",C,female,38,0,0,PC 17757,227.525,C45
1,1,"Eustis, Miss. Elizabeth Mussey",C,female,54,1,0,36947,78.2667,D20
1,0,"Evans, Miss. Edith Corse",C,female,36,0,0,PC 17531,31.6792,A29
1,0,"Farthing, Mr. John",S,male,,0,0,PC 17483,221.7792,C95
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",S,female,,0,0,PC 17598,31.6833,
1,1,"Fleming, Miss. Margaret",C,female,,0,0,17421,110.8833,
1,1,"Flynn, Mr. John Irwin ('Irving')",S,male,36,0,0,PC 17474,26.3875,E25
1,0,"Foreman, Mr. Benjamin Laventall",C,male,30,0,0,113051,27.75,C111
1,1,"Fortune, Miss. Alice Elizabeth",S,female,24,3,2,19950,263,C23 C25 C27
1,1,"Fortune, Miss. Ethel Flora",S,female,28,3,2,19950,263,C23 C25 C27
1,1,"Fortune, Miss. Mabel Helen",S,female,23,3,2,19950,263,C23 C25 C27
1,0,"Fortune, Mr. Charles Alexander",S,male,19,3,2,19950,263,C23 C25 C27
1,0,"Fortune, Mr. Mark",S,male,64,1,4,19950,263,C23 C25 C27
1,1,"Fortune, Mrs. Mark (Mary McDougald)",S,female,60,1,4,19950,263,C23 C25 C27
1,1,"Francatelli, Miss. Laura Mabel",C,female,30,0,0,PC 17485,56.9292,E36
1,0,"Franklin, Mr. Thomas Parham",S,male,,0,0,113778,26.55,D34
1,1,"Frauenthal, Dr. Henry William",S,male,50,2,0,PC 17611,133.65,
1,1,"Frauenthal, Mr. Isaac Gerald",C,male,43,1,0,17765,27.7208,D40
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",S,female,,1,0,PC 17611,133.65,
1,1,"Frolicher, Miss. Hedwig Margaritha",C,female,22,0,2,13568,49.5,B39
1,1,"Frolicher-Stehli, Mr. Maxmillian",C,male,60,1,1,13567,79.2,B41
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",C,female,48,1,1,13567,79.2,B41
1,0,"Fry, Mr. Richard",S,male,,0,0,112058,0,B102
1,0,"Futrelle, Mr. Jacques Heath",S,male,37,1,0,113803,53.1,C123
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",S,female,35,1,0,113803,53.1,C123
1,0,"Gee, Mr. Arthur H",S,male,47,0,0,111320,38.5,E63
1,1,"Geiger, Miss. Amalie",C,female,35,0,0,113503,211.5,C130
1,1,"Gibson, Miss. Dorothy Winifred",C,female,22,0,1,112378,59.4,
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",C,female,45,0,1,112378,59.4,
1,0,"Giglio, Mr. Victor",C,male,24,0,0,PC 17593,79.2,B86
1,1,"Goldenberg, Mr. Samuel L",C,male,49,1,0,17453,89.1042,C92
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",C,female,,1,0,17453,89.1042,C92
1,0,"Goldschmidt, Mr. George B",C,male,71,0,0,PC 17754,34.6542,A5
1,1,"Gracie, Col. Archibald IV",C,male,53,0,0,113780,28.5,C51
1,1,"Graham, Miss. Margaret Edith",S,female,19,0,0,112053,30,B42
1,0,"Graham, Mr. George Edward",S,male,38,0,1,PC 17582,153.4625,C91
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",S,female,58,0,1,PC 17582,153.4625,C125
1,1,"Greenfield, Mr. William Bertram",C,male,23,0,1,PC 17759,63.3583,D10 D12
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",C,female,45,0,1,PC 17759,63.3583,D10 D12
1,0,"Guggenheim, Mr. Benjamin",C,male,46,0,0,PC 17593,79.2,B82 B84
1,1,"Harder, Mr. George Achilles",C,male,25,1,0,11765,55.4417,E50
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",C,female,25,1,0,11765,55.4417,E50
1,1,"Harper, Mr. Henry Sleeper",C,male,48,1,0,PC 17572,76.7292,D33
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",C,female,49,1,0,PC 17572,76.7292,D33
1,0,"Harrington, Mr. Charles H",S,male,,0,0,113796,42.4,
1,0,"Harris, Mr. Henry Birkhardt",S,male,45,1,0,36973,83.475,C83
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",S,female,35,1,0,36973,83.475,C83
1,0,"Harrison, Mr. William",S,male,40,0,0,112059,0,B94
1,1,"Hassab, Mr. Hammad",C,male,27,0,0,PC 17572,76.7292,D49
1,1,"Hawksford, Mr. Walter James",S,male,,0,0,16988,30,D45
1,1,"Hays, Miss. Margaret Bechstein",C,female,24,0,0,11767,83.1583,C54
1,0,"Hays, Mr. Charles Melville",S,male,55,1,1,12749,93.5,B69
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",S,female,52,1,1,12749,93.5,B69
1,0,"Head, Mr. Christopher",S,male,42,0,0,113038,42.5,B11
1,0,"Hilliard, Mr. Herbert Henry",S,male,,0,0,17463,51.8625,E46
1,0,"Hipkins, Mr. William Edward",S,male,55,0,0,680,50,C39
1,1,"Hippach, Miss. Jean Gertrude",C,female,16,0,1,111361,57.9792,B18
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",C,female,44,0,1,111361,57.9792,B18
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",S,female,51,1,0,13502,77.9583,D11
1,0,"Holverson, Mr. Alexander Oskar",S,male,42,1,0,113789,52,
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",S,female,35,1,0,113789,52,
1,1,"Homer, Mr. Harry ('Mr E Haven')",C,male,35,0,0,111426,26.55,
1,1,"Hoyt, Mr. Frederick Maxfield",S,male,38,1,0,19943,90,C93
1,0,"Hoyt, Mr. William Fisher",C,male,,0,0,PC 17600,30.6958,
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",S,female,35,1,0,19943,90,C93
1,1,"Icard, Miss. Amelie",,female,38,0,0,113572,80,B28
1,0,"Isham, Miss. Ann Elizabeth",C,female,50,0,0,PC 17595,28.7125,C49
1,1,"Ismay, Mr. Joseph Bruce",S,male,49,0,0,112058,0,B52 B54 B56
1,0,"Jones, Mr. Charles Cresson",S,male,46,0,0,694,26,
1,0,"Julian, Mr. Henry Forbes",S,male,50,0,0,113044,26,E60
1,0,"Keeping, Mr. Edwin",C,male,32.5,0,0,113503,211.5,C132
1,0,"Kent, Mr. Edward Austin",C,male,58,0,0,11771,29.7,B37
1,0,"Kenyon, Mr. Frederick R",S,male,41,1,0,17464,51.8625,D21
1,1,"Kenyon, Mrs. Frederick R (Marion)",S,female,,1,0,17464,51.8625,D21
1,1,"Kimball, Mr. Edwin Nelson Jr",S,male,42,1,0,11753,52.5542,D19
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",S,female,45,1,0,11753,52.5542,D19
1,0,"Klaber, Mr. Herman",S,male,,0,0,113028,26.55,C124
1,1,"Kreuchen, Miss. Emilie",S,female,39,0,0,24160,211.3375,
1,1,"Leader, Dr. Alice (Farnham)",S,female,49,0,0,17465,25.9292,D17
1,1,"LeRoy, Miss. Bertha",C,female,30,0,0,PC 17761,106.425,
1,1,"Lesurer, Mr. Gustave J",C,male,35,0,0,PC 17755,512.3292,B101
1,0,"Lewy, Mr. Ervin G",C,male,,0,0,PC 17612,27.7208,
1,0,"Lindeberg-Lind, Mr. Erik Gustaf ('Mr Edward Lingrey')",S,male,42,0,0,17475,26.55,
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",C,female,55,0,0,112377,27.7208,
1,1,"Lines, Miss. Mary Conover",S,female,16,0,1,PC 17592,39.4,D28
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",S,female,51,0,1,PC 17592,39.4,D28
1,0,"Long, Mr. Milton Clyde",S,male,29,0,0,113501,30,D6
1,1,"Longley, Miss. Gretchen Fiske",S,female,21,0,0,13502,77.9583,D9
1,0,"Loring, Mr. Joseph Holland",S,male,30,0,0,113801,45.5,
1,1,"Lurette, Miss. Elise",C,female,58,0,0,PC 17569,146.5208,B80
1,1,"Madill, Miss. Georgette Alexandra",S,female,15,0,1,24160,211.3375,B5
1,0,"Maguire, Mr. John Edward",S,male,30,0,0,110469,26,C106
1,1,"Maioni, Miss. Roberta",S,female,16,0,0,110152,86.5,B79
1,1,"Marechal, Mr. Pierre",C,male,,0,0,11774,29.7,C47
1,0,"Marvin, Mr. Daniel Warner",S,male,19,1,0,113773,53.1,D30
1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",S,female,18,1,0,113773,53.1,D30
1,1,"Mayne, Mlle. Berthe Antonine ('Mrs de Villiers')",C,female,24,0,0,PC 17482,49.5042,C90
1,0,"McCaffry, Mr. Thomas Francis",C,male,46,0,0,13050,75.2417,C6
1,0,"McCarthy, Mr. Timothy J",S,male,54,0,0,17463,51.8625,E46
1,1,"McGough, Mr. James Robert",S,male,36,0,0,PC 17473,26.2875,E25
1,0,"Meyer, Mr. Edgar Joseph",C,male,28,1,0,PC 17604,82.1708,
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",C,female,,1,0,PC 17604,82.1708,
1,0,"Millet, Mr. Francis Davis",S,male,65,0,0,13509,26.55,E38
1,0,"Minahan, Dr. William Edward",Q,male,44,2,0,19928,90,C78
1,1,"Minahan, Miss. Daisy E",Q,female,33,1,0,19928,90,C78
1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",Q,female,37,1,0,19928,90,C78
1,1,"Mock, Mr. Philipp Edmund",C,male,30,1,0,13236,57.75,C78
1,0,"Molson, Mr. Harry Markland",S,male,55,0,0,113787,30.5,C30
1,0,"Moore, Mr. Clarence Bloomfield",S,male,47,0,0,113796,42.4,
1,0,"Natsch, Mr. Charles H",C,male,37,0,1,PC 17596,29.7,C118
1,1,"Newell, Miss. Madeleine",C,female,31,1,0,35273,113.275,D36
1,1,"Newell, Miss. Marjorie",C,female,23,1,0,35273,113.275,D36
1,0,"Newell, Mr. Arthur Webster",C,male,58,0,2,35273,113.275,D48
1,1,"Newsom, Miss. Helen Monypeny",S,female,19,0,2,11752,26.2833,D47
1,0,"Nicholson, Mr. Arthur Ernest",S,male,64,0,0,693,26,
1,1,"Oliva y Ocana, Dona. Fermina",C,female,39,0,0,PC 17758,108.9,C105
1,1,"Omont, Mr. Alfred Fernand",C,male,,0,0,F.C. 12998,25.7417,
1,1,"Ostby, Miss. Helene Ragnhild",C,female,22,0,1,113509,61.9792,B36
1,0,"Ostby, Mr. Engelhart Cornelius",C,male,65,0,1,113509,61.9792,B30
1,0,"Ovies y Rodriguez, Mr. Servando",C,male,28.5,0,0,PC 17562,27.7208,D43
1,0,"Parr, Mr. William Henry Marsh",S,male,,0,0,112052,,
1,0,"Partner, Mr. Austen",S,male,45.5,0,0,113043,28.5,C124
1,0,"Payne, Mr. Vivian Ponsonby",S,male,23,0,0,12749,93.5,B24
1,0,"Pears, Mr. Thomas Clinton",S,male,29,1,0,113776,66.6,C2
1,1,"Pears, Mrs. Thomas (Edith Wearne)",S,female,22,1,0,113776,66.6,C2
1,0,"Penasco y Castellana, Mr. Victor de Satode",C,male,18,1,0,PC 17758,108.9,C65
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",C,female,17,1,0,PC 17758,108.9,C65
1,1,"Perreault, Miss. Anne",S,female,30,0,0,12749,93.5,B73
1,1,"Peuchen, Major. Arthur Godfrey",S,male,52,0,0,113786,30.5,C104
1,0,"Porter, Mr. Walter Chamberlain",S,male,47,0,0,110465,52,C110
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",C,female,56,0,1,11767,83.1583,C50
1,0,"Reuchlin, Jonkheer. John George",S,male,38,0,0,19972,,
1,1,"Rheims, Mr. George Alexander Lucien",S,male,,0,0,PC 17607,39.6,
1,0,"Ringhini, Mr. Sante",C,male,22,0,0,PC 17760,135.6333,
1,0,"Robbins, Mr. Victor",C,male,,0,0,PC 17757,227.525,
1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",S,female,43,0,1,24160,211.3375,B3
1,0,"Roebling, Mr. Washington Augustus II",S,male,31,0,0,PC 17590,50.4958,A24
1,1,"Romaine, Mr. Charles Hallace ('Mr C Rolmane')",S,male,45,0,0,111428,26.55,
1,0,"Rood, Mr. Hugh Roscoe",S,male,,0,0,113767,50,A32
1,1,"Rosenbaum, Miss. Edith Louise",C,female,33,0,0,PC 17613,27.7208,A11
1,0,"Rosenshine, Mr. George ('Mr George Thorne')",C,male,46,0,0,PC 17585,79.2,
1,0,"Ross, Mr. John Hugo",C,male,36,0,0,13049,40.125,A10
1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",S,female,33,0,0,110152,86.5,B77
1,0,"Rothschild, Mr. Martin",C,male,55,1,0,PC 17603,59.4,
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",C,female,54,1,0,PC 17603,59.4,
1,0,"Rowe, Mr. Alfred G",S,male,33,0,0,113790,26.55,
1,1,"Ryerson, Master. John Borie",C,male,13,2,2,PC 17608,262.375,B57 B59 B63 B66
1,1,"Ryerson, Miss. Emily Borie",C,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66
1,1,"Ryerson, Miss. Susan Parker 'Suzette'",C,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66
1,0,"Ryerson, Mr. Arthur Larned",C,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66
1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",C,female,48,1,3,PC 17608,262.375,B57 B59 B63 B66
1,1,"Saalfeld, Mr. Adolphe",S,male,,0,0,19988,30.5,C106
1,1,"Sagesser, Mlle. Emma",C,female,24,0,0,PC 17477,69.3,B35
1,1,"Salomon, Mr. Abraham L",S,male,,0,0,111163,26,
1,1,"Schabert, Mrs. Paul (Emma Mock)",C,female,35,1,0,13236,57.75,C28
1,1,"Serepeca, Miss. Augusta",C,female,30,0,0,113798,31,
1,1,"Seward, Mr. Frederic Kimber",S,male,34,0,0,113794,26.55,
1,1,"Shutes, Miss. Elizabeth W",S,female,40,0,0,PC 17582,153.4625,C125
1,1,"Silverthorne, Mr. Spencer Victor",S,male,35,0,0,PC 17475,26.2875,E24
1,0,"Silvey, Mr. William Baird",S,male,50,1,0,13507,55.9,E44
1,1,"Silvey, Mrs. William Baird (Alice Munger)",S,female,39,1,0,13507,55.9,E44
1,1,"Simonius-Blumer, Col. Oberst Alfons",C,male,56,0,0,13213,35.5,A26
1,1,"Sloper, Mr. William Thompson",S,male,28,0,0,113788,35.5,A6
1,0,"Smart, Mr. John Montgomery",S,male,56,0,0,113792,26.55,
1,0,"Smith, Mr. James Clinch",C,male,56,0,0,17764,30.6958,A7
1,0,"Smith, Mr. Lucien Philip",S,male,24,1,0,13695,60,C31
1,0,"Smith, Mr. Richard William",S,male,,0,0,113056,26,A19
1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",S,female,18,1,0,13695,60,C31
1,1,"Snyder, Mr. John Pillsbury",S,male,24,1,0,21228,82.2667,B45
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",S,female,23,1,0,21228,82.2667,B45
1,1,"Spedden, Master. Robert Douglas",C,male,6,0,2,16966,134.5,E34
1,1,"Spedden, Mr. Frederic Oakley",C,male,45,1,1,16966,134.5,E34
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",C,female,40,1,1,16966,134.5,E34
1,0,"Spencer, Mr. William Augustus",C,male,57,1,0,PC 17569,146.5208,B78
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",C,female,,1,0,PC 17569,146.5208,B78
1,1,"Stahelin-Maeglin, Dr. Max",C,male,32,0,0,13214,30.5,B50
1,0,"Stead, Mr. William Thomas",S,male,62,0,0,113514,26.55,C87
1,1,"Stengel, Mr. Charles Emil Henry",C,male,54,1,0,11778,55.4417,C116
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",C,female,43,1,0,11778,55.4417,C116
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",C,female,52,1,0,36947,78.2667,D20
1,0,"Stewart, Mr. Albert A",C,male,,0,0,PC 17605,27.7208,
1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",,female,62,0,0,113572,80,B28
1,0,"Straus, Mr. Isidor",S,male,67,1,0,PC 17483,221.7792,C55 C57
1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",S,female,63,1,0,PC 17483,221.7792,C55 C57
1,0,"Sutton, Mr. Frederick",S,male,61,0,0,36963,32.3208,D50
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",S,female,48,0,0,17466,25.9292,D17
1,1,"Taussig, Miss. Ruth",S,female,18,0,2,110413,79.65,E68
1,0,"Taussig, Mr. Emil",S,male,52,1,1,110413,79.65,E67
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",S,female,39,1,1,110413,79.65,E67
1,1,"Taylor, Mr. Elmer Zebley",S,male,48,1,0,19996,52,C126
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",S,female,,1,0,19996,52,C126
1,0,"Thayer, Mr. John Borland",C,male,49,1,1,17421,110.8833,C68
1,1,"Thayer, Mr. John Borland Jr",C,male,17,0,2,17421,110.8833,C70
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",C,female,39,1,1,17421,110.8833,C68
1,1,"Thorne, Mrs. Gertrude Maybelle",C,female,,0,0,PC 17585,79.2,
1,1,"Tucker, Mr. Gilbert Milligan Jr",C,male,31,0,0,2543,28.5375,C53
1,0,"Uruchurtu, Don. Manuel E",C,male,40,0,0,PC 17601,27.7208,
1,0,"Van der hoef, Mr. Wyckoff",S,male,61,0,0,111240,33.5,B19
1,0,"Walker, Mr. William Anderson",S,male,47,0,0,36967,34.0208,D46
1,1,"Ward, Miss. Anna",C,female,35,0,0,PC 17755,512.3292,
1,0,"Warren, Mr. Frank Manley",C,male,64,1,0,110813,75.25,D37
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",C,female,60,1,0,110813,75.25,D37
